id,translatable_id,name,locale
156,12,TTT,en
157,154,"SRD s indukční smyčkou",cs
158,154,"Inductive applications",en
159,174,"Širokopásmový přenos dat",cs
160,174,"Wideband data transmission systems",en
161,176,"Širokopásmový přenos dat (jen uvnitř budov)",cs
162,176,"Wideband data transmission systems",en
163,157,T-DAB,cs
164,157,T-DAB,en
165,158,TETRA,cs
166,158,TETRA,en
167,155,"Veterinární implantáty (SRD)",cs
168,155,"Active medical implants",en
169,164,VOR,cs
170,164,VOR,en
171,166,Výškoměry,cs
172,166,Altimeters,en
173,181,"Majákové přenosy",cs
174,181,"Feeder links",en
175,182,"MFCN - sítě elektronických komunikací",cs
176,182,MFCN,en
179,184,"Pasivní čidla (družicová)",cs
180,184,"Passive sensors (satellite)",en
187,188,"Družicové meteorologické radary",cs
188,188,"Weather radar",en
189,189,"Radiolokace (necivilní)",cs
190,189,"Radiolocation (military)",en
191,190,"Datové a povelové stanice",cs
192,190,"Telemetry/Telecommand (civil)",en
193,191,"Radiolokační senzory",cs
194,191,"Wind profilers",en
195,192,"Kosmický výzkum",cs
196,192,"Space research",en
197,193,"Družicové systémy (civilní)",cs
198,193,"Satellite systems (civil)",en
199,194,"SRD v datových sítích",cs
200,194,"SRD in data networks",en
