id,code,sorting,created_at,updated_at
203,F3E,,"2015-07-25 20:07:45","2015-08-06 14:15:16"
204,FA,,"2015-07-25 20:07:45","2015-08-06 14:15:10"
205,FATDMA,,"2015-07-25 20:07:45","2015-08-06 22:30:00"
206,FB,,"2015-07-25 20:07:45","2015-08-06 14:15:01"
207,FC,,"2015-07-25 20:07:45","2015-08-06 14:14:54"
208,FCC,,"2015-07-25 20:07:45","2015-07-25 23:53:08"
209,FD,,"2015-07-25 20:07:45","2015-07-25 23:52:57"
210,FDD,,"2015-07-25 20:07:45","2015-07-25 23:51:25"
211,FDM,,"2015-07-25 20:07:45","2015-07-25 23:53:44"
212,FEC,,"2015-07-25 20:07:45","2015-08-06 22:30:16"
213,"Feeder link",,"2015-07-25 20:07:45","2015-08-06 14:14:43"
214,FG,,"2015-07-25 20:07:45","2015-07-26 14:15:40"
215,FHSS,,"2015-07-25 20:07:45","2015-07-26 14:18:49"
216,FIC,,"2015-07-25 20:07:45","2015-07-26 14:19:02"
217,FIFO,,"2015-07-25 20:07:45","2016-06-06 15:28:35"
218,FL,,"2015-07-25 20:07:45","2015-08-06 14:14:23"
219,FM,,"2015-07-25 20:07:45","2015-07-25 23:51:56"
220,FP,,"2015-07-25 20:07:45","2015-08-06 14:14:18"
221,FPLMTS,,"2015-07-25 20:07:45","2015-07-25 23:51:35"
222,FS,,"2015-07-25 20:07:45","2015-08-06 14:14:08"
223,FSO,,"2015-07-25 20:07:45","2015-07-25 23:54:35"
224,FSS,,"2015-07-25 20:07:45","2015-07-26 14:19:58"
225,FTP,,"2015-07-25 20:07:45","2015-07-25 23:57:04"
226,FWA,,"2015-07-25 20:07:45","2015-08-06 14:14:01"
227,FWS,,"2015-07-25 20:07:45","2015-07-25 23:57:39"
228,FX,,"2015-07-25 20:07:45","2015-07-26 14:15:25"
229,GALILEO,,"2015-07-25 20:07:45","2015-08-06 14:13:53"
230,GBAS,,"2015-07-25 20:07:45","2015-07-26 14:15:51"
231,GBSAR,,"2015-07-25 20:07:45","2015-07-25 23:57:21"
232,GEO,,"2015-07-25 20:07:45","2015-07-25 23:56:17"
233,GLONASS,,"2015-07-25 20:07:45","2015-07-25 23:54:16"
234,GMDSS,,"2015-07-25 20:07:45","2015-07-26 14:19:23"
235,GMS,,"2015-07-25 20:07:45","2015-07-26 14:19:34"
236,GMSK,,"2015-07-25 20:07:45","2015-07-25 23:56:41"
237,GMT,,"2015-07-25 20:07:45","2015-07-25 23:53:30"
238,GNSS,,"2015-07-25 20:07:45","2015-07-26 14:16:04"
239,GOC,,"2015-07-25 20:07:45","2015-07-26 14:16:13"
240,GOES,,"2015-07-25 20:07:45","2015-07-26 14:15:01"
241,GOMS,,"2015-07-25 20:07:45","2015-07-26 14:14:33"
242,GP,,"2015-07-25 20:07:45","2015-07-26 14:14:48"
243,GPR,,"2015-07-25 20:07:45","2015-07-25 23:55:51"
