id,army_usage_id,plan_part_id,start,end,sorting,created_at,updated_at
191,2,26,40980000,41000000,,"2015-08-05 15:56:30","2017-02-15 18:30:16"
192,3,26,41000000,41015000,,"2015-08-05 15:56:30","2017-02-15 18:30:49"
193,3,26,41015000,42000000,,"2015-08-05 15:56:30","2018-10-29 18:52:15"
195,3,26,44000000,46000000,,"2015-08-05 15:56:30","2018-09-05 13:21:21"
196,3,26,46000000,47000000,,"2015-08-05 15:56:30","2017-02-16 09:08:54"
197,3,26,47000000,48500000,,"2015-08-05 15:56:30","2018-09-05 13:25:19"
198,2,26,48500000,50000000,,"2015-08-05 15:56:30","2018-09-05 12:55:18"
199,2,26,50000000,52000000,,"2015-08-05 15:56:30","2018-08-29 08:53:12"
200,4,26,52000000,56500000,,"2015-08-05 15:56:30","2018-08-29 08:55:23"
201,4,26,56500000,58000000,,"2015-08-05 15:56:30","2018-08-29 09:00:57"
202,4,26,58000000,66000000,,"2015-08-05 15:56:30","2018-08-29 09:03:15"
203,2,5,66000000,67500000,,"2015-08-05 15:56:30","2018-08-29 09:05:30"
204,1,5,67500000,68000000,,"2015-08-05 15:56:30","2018-11-10 10:04:08"
205,2,5,68000000,70000000,,"2015-08-05 15:56:30","2018-11-10 09:48:42"
206,3,5,70000000,70450000,,"2015-08-05 15:56:30","2018-08-29 09:14:36"
207,2,5,70450000,73000000,,"2015-08-05 15:56:30","2018-11-10 09:51:57"
208,2,5,73000000,74600000,,"2015-08-05 15:56:30","2018-08-29 09:21:49"
209,2,5,74600000,74800000,,"2015-08-05 15:56:30","2018-08-29 09:23:17"
210,4,5,74800000,75200000,,"2015-08-05 15:56:30","2018-08-29 09:25:25"
211,1,5,75200000,75400000,,"2015-08-05 15:56:30","2018-08-28 10:06:30"
212,4,5,75400000,76975000,,"2015-08-05 15:56:30","2018-08-28 10:08:02"
213,2,5,76975000,87500000,,"2015-08-05 15:56:30","2018-11-10 10:02:54"
214,1,22,87500000,108000000,,"2015-08-05 15:56:30","2017-03-27 20:09:47"
215,4,22,108000000,117975000,,"2015-08-05 15:56:30","2017-02-15 19:42:12"
216,2,22,117975000,132000000,,"2015-08-05 15:56:30","2018-09-05 13:04:46"
218,2,22,132000000,137000000,,"2015-08-05 15:56:30","2018-08-28 10:26:24"
219,3,22,137000000,137025000,,"2015-08-05 15:56:30","2018-08-28 10:03:31"
220,3,22,137025000,137175000,,"2015-08-05 15:56:30","2018-08-28 09:43:13"
221,3,22,137175000,137825000,,"2015-08-05 15:56:30","2018-08-28 10:00:41"
222,3,22,137825000,138000000,,"2015-08-05 15:56:30","2018-08-28 10:01:54"
223,3,22,138000000,143600000,,"2015-08-05 15:56:30","2016-05-13 10:05:32"
224,3,22,143600000,143650000,,"2015-08-05 15:56:30","2018-08-28 09:37:50"
225,3,22,143650000,144000000,,"2015-08-05 15:56:30","2018-08-28 09:38:05"
226,1,22,144000000,146000000,,"2015-08-05 15:56:30","2017-02-16 10:08:31"
227,1,1,146000000,148000000,,"2015-08-05 15:56:30","2018-02-17 13:35:35"
228,1,1,148000000,149900000,,"2015-08-05 15:56:30","2018-02-17 13:38:45"
229,1,1,149900000,150050000,,"2015-08-05 15:56:30","2018-02-17 13:40:03"
230,1,1,150050000,153000000,,"2015-08-05 15:56:30","2018-02-17 13:41:42"
233,1,1,153000000,153550000,,"2015-08-05 15:56:30","2018-02-17 13:43:11"
234,4,1,153550000,154000000,,"2015-08-05 15:56:30","2018-02-17 13:44:02"
235,3,1,154000000,155500000,,"2015-08-05 15:56:30","2018-02-17 13:45:11"
236,2,1,155500000,156487500,,"2015-08-05 15:56:30","2018-02-18 10:33:40"
237,1,1,156487500,156562500,,"2015-08-05 15:56:30","2018-02-18 09:54:25"
238,1,1,156562500,156762500,,"2015-08-05 15:56:30","2018-02-18 09:43:04"
239,1,1,156762500,156787500,,"2015-08-05 15:56:30","2018-09-19 10:24:56"
240,4,1,156837500,161937500,,"2015-08-05 15:56:30","2018-02-18 10:48:58"
241,1,1,161937500,161962500,,"2015-08-05 15:56:30","2018-02-18 09:49:59"
242,1,1,161962500,161987500,,"2015-08-05 15:56:30","2018-02-18 09:50:43"
243,1,1,162012500,162037500,,"2015-08-05 15:56:30","2018-02-18 09:52:07"
245,1,1,161987500,162012500,,"2015-08-05 15:56:30","2018-02-18 09:51:48"
246,4,1,162037500,174000000,,"2015-08-05 15:56:30","2018-01-23 18:47:16"
247,1,21,174000000,223000000,,"2015-08-05 15:56:30","2018-02-02 10:21:38"
248,1,21,223000000,230000000,,"2015-08-05 15:56:30","2018-02-02 10:22:19"
249,3,21,230000000,235000000,,"2015-08-05 15:56:30","2018-01-05 16:56:33"
250,3,21,235000000,242950000,,"2015-08-05 15:56:30","2018-01-07 14:54:49"
251,4,21,242950000,243050000,,"2015-08-05 15:56:30","2018-01-07 14:56:01"
252,3,21,243050000,267000000,,"2015-08-05 15:56:30","2018-01-07 14:56:43"
253,3,21,267000000,272000000,,"2015-08-05 15:56:30","2018-01-07 15:04:06"
254,3,21,272000000,273000000,,"2015-08-05 15:56:30","2018-01-07 15:04:50"
255,3,21,273000000,312000000,,"2015-08-05 15:56:30","2018-01-07 15:05:34"
256,3,21,312000000,315000000,,"2015-08-05 15:56:30","2018-02-02 09:43:41"
257,3,21,315000000,322000000,,"2015-08-05 15:56:30","2018-01-07 15:06:51"
258,3,21,322000000,328600000,,"2015-08-05 15:56:30","2018-01-07 15:17:09"
259,4,21,328600000,335400000,,"2015-08-05 15:56:30","2018-01-07 15:14:32"
260,3,21,335400000,380000000,,"2015-08-05 15:56:30","2018-01-07 14:57:59"
261,2,15,380000000,382250000,,"2015-08-05 15:56:30","2017-02-17 10:44:56"
262,2,15,382250000,385000000,,"2015-08-05 15:56:30","2017-02-17 10:46:10"
263,3,15,385000000,387000000,,"2015-08-05 15:56:30","2017-02-20 11:52:10"
264,3,15,387000000,390000000,,"2015-08-05 15:56:30","2018-04-05 14:06:15"
265,2,15,390000000,392250000,,"2015-08-05 15:56:30","2017-02-17 10:52:30"
266,2,15,392250000,395000000,,"2015-08-05 15:56:30","2017-02-17 10:53:29"
267,3,15,395000000,399900000,,"2015-08-05 15:56:30","2017-02-20 11:56:41"
268,1,15,399900000,400050000,,"2015-08-05 15:56:30","2018-04-05 14:29:30"
269,1,15,400050000,400150000,,"2015-08-05 15:56:30","2017-02-20 12:33:59"
270,1,15,400150000,401000000,,"2015-08-05 15:56:30","2018-04-05 14:48:45"
271,1,15,401000000,402000000,,"2015-08-05 15:56:30","2019-05-19 09:23:57"
272,2,15,402000000,403000000,,"2015-08-05 15:56:30","2019-05-19 09:24:44"
273,2,15,403000000,405000000,,"2015-08-05 15:56:30","2019-05-19 09:25:07"
274,2,15,405000000,406000000,,"2015-08-05 15:56:30","2019-05-19 09:25:29"
275,1,15,406000000,406100000,,"2015-08-05 15:56:30","2018-04-05 16:44:40"
276,2,15,406100000,410000000,,"2015-08-05 15:56:30","2018-04-05 16:49:50"
277,2,15,410000000,415000000,,"2015-08-05 15:56:30","2018-04-05 17:36:59"
278,2,15,415000000,420000000,,"2015-08-05 15:56:30","2018-04-05 17:39:16"
279,2,15,420000000,430000000,,"2015-08-05 15:56:30","2018-04-05 17:48:16"
280,2,15,430000000,432000000,,"2015-08-05 15:56:30","2016-05-11 12:57:26"
281,2,15,432000000,438000000,,"2015-08-05 15:56:30","2016-05-11 13:07:54"
282,4,15,438000000,440000000,,"2015-08-05 15:56:30","2018-04-10 17:08:55"
283,2,15,440000000,448000000,,"2015-08-05 15:56:30","2018-04-10 17:14:36"
284,2,15,448000000,450000000,,"2015-08-05 15:56:30","2018-04-10 17:17:09"
285,1,15,450000000,455000000,,"2015-08-05 15:56:30","2017-02-20 17:38:24"
286,1,15,455000000,456000000,,"2015-08-05 15:56:30","2017-02-20 17:38:52"
287,1,15,456000000,459000000,,"2015-08-05 15:56:30","2017-02-20 13:18:54"
288,1,15,459000000,460000000,,"2015-08-05 15:56:30","2017-02-20 17:39:51"
289,1,15,460000000,470000000,,"2015-08-05 15:56:30","2017-02-20 13:21:02"
290,1,10,470000000,694000000,,"2015-08-05 15:56:30","2018-04-10 17:44:51"
291,1,10,694000000,790000000,,"2015-08-05 15:56:30","2019-03-17 18:57:04"
292,1,10,790000000,862000000,,"2015-08-05 15:56:30","2019-06-16 15:40:44"
294,2,10,862000000,890000000,,"2015-08-05 15:56:30","2018-04-27 14:04:46"
295,2,10,890000000,942000000,,"2015-08-05 15:56:30","2016-07-13 15:29:54"
296,1,10,942000000,960000000,,"2015-08-05 15:56:30","2015-11-23 17:33:53"
297,4,20,960000000,1145000000,,"2015-08-05 15:56:30","2018-12-11 11:11:44"
298,4,20,1145000000,1164000000,,"2015-08-05 15:56:30","2017-09-22 13:11:47"
299,4,20,1164000000,1215000000,,"2015-08-05 15:56:30","2019-04-28 17:30:43"
300,4,20,1215000000,1240000000,,"2015-08-05 15:56:30","2018-12-11 13:30:52"
301,4,20,1240000000,1300000000,,"2015-08-05 15:56:30","2018-12-11 14:36:08"
302,4,20,1300000000,1350000000,,"2015-08-05 15:56:30","2018-12-11 13:34:41"
303,4,20,1350000000,1400000000,,"2015-08-05 15:56:30","2018-12-11 14:18:58"
304,1,20,1400000000,1427000000,,"2015-08-05 15:56:30","2018-12-11 14:19:48"
305,3,20,1427000000,1429000000,,"2015-08-05 15:56:30","2018-12-11 14:05:35"
306,4,20,1429000000,1452000000,,"2015-08-05 15:56:30","2018-12-11 14:07:24"
307,1,20,1452000000,1492000000,,"2015-08-05 15:56:30","2018-12-11 14:33:04"
308,3,20,1492000000,1518000000,,"2015-08-05 15:56:30","2018-12-11 14:15:04"
309,4,20,1518000000,1525000000,,"2015-08-05 15:56:30","2018-05-22 10:52:00"
310,2,20,1525000000,1530000000,,"2015-08-05 15:56:30","2018-12-11 12:52:42"
311,2,20,1530000000,1535000000,,"2015-08-05 15:56:30","2018-12-11 12:52:05"
312,2,20,1535000000,1544000000,,"2015-08-05 15:56:30","2018-12-11 12:51:33"
313,2,20,1544000000,1545000000,,"2015-08-05 15:56:30","2018-12-11 12:51:17"
314,2,20,1545000000,1555000000,,"2015-08-05 15:56:30","2018-12-11 12:51:02"
315,2,20,1555000000,1559000000,,"2015-08-05 15:56:30","2018-12-11 12:50:37"
316,4,20,1559000000,1610000000,,"2015-08-05 15:56:30","2018-12-11 13:33:01"
317,4,20,1610000000,1610600000,,"2015-08-05 15:56:30","2018-12-11 13:41:17"
318,4,20,1610600000,1613800000,,"2015-08-05 15:56:30","2018-12-11 13:20:19"
319,4,20,1613800000,1626500000,,"2015-08-05 15:56:30","2018-12-11 12:56:58"
320,2,20,1626500000,1645500000,,"2015-08-05 15:56:30","2018-12-11 13:00:41"
321,2,20,1645500000,1646500000,,"2015-08-05 15:56:30","2018-12-11 13:08:53"
322,2,20,1646500000,1656500000,,"2015-08-05 15:56:30","2018-12-11 13:09:13"
323,2,20,1656500000,1660000000,,"2015-08-05 15:56:30","2018-12-11 13:09:27"
324,2,20,1660000000,1660500000,,"2015-08-05 15:56:30","2018-12-11 13:25:17"
325,2,20,1660500000,1668000000,,"2015-08-05 15:56:30","2018-12-11 14:20:55"
326,2,20,1668000000,1668400000,,"2015-08-05 15:56:30","2018-05-23 14:42:50"
327,4,20,1668400000,1670000000,,"2015-08-05 15:56:30","2018-12-11 13:25:59"
328,2,20,1670000000,1675000000,,"2015-08-05 15:56:30","2018-12-11 14:38:05"
329,4,20,1675000000,1690000000,,"2015-08-05 15:56:30","2018-12-11 14:38:31"
330,2,20,1690000000,1700000000,,"2015-08-05 15:56:30","2018-12-11 14:38:45"
331,4,12,1700000000,1710000000,,"2015-08-05 15:56:30","2018-05-23 14:59:17"
332,1,12,1710000000,1770000000,,"2015-08-05 15:56:30","2019-06-16 15:55:00"
333,2,12,1770000000,1790000000,,"2015-08-05 15:56:30","2019-06-16 15:55:51"
334,2,12,1790000000,1900000000,,"2015-08-05 15:56:30","2019-06-16 16:06:35"
335,2,6,1900000000,1930000000,,"2015-08-05 15:56:30","2019-06-16 16:08:27"
336,1,6,1930000000,1970000000,,"2015-08-05 15:56:30","2019-06-16 16:09:13"
337,1,6,1970000000,1980000000,,"2015-08-05 15:56:30","2019-06-16 16:09:51"
338,1,6,1980000000,2010000000,,"2015-08-05 15:56:30","2018-05-30 14:59:26"
339,1,6,2010000000,2025000000,,"2015-08-05 15:56:30","2017-04-13 13:08:11"
340,4,6,2025000000,2110000000,,"2015-08-05 15:56:30","2018-11-13 14:04:41"
341,1,6,2110000000,2120000000,,"2015-08-05 15:56:30","2019-06-16 16:11:31"
342,1,6,2120000000,2170000000,,"2015-08-05 15:56:30","2019-06-16 16:12:17"
343,1,6,2170000000,2200000000,,"2015-08-05 15:56:30","2017-04-13 14:28:50"
344,4,14,2200000000,2290000000,,"2015-08-05 15:56:30","2018-05-31 11:07:19"
345,1,14,2290000000,2300000000,,"2015-08-05 15:56:30","2018-05-31 11:09:25"
346,2,14,2300000000,2450000000,,"2015-08-05 15:56:30","2016-03-29 14:58:55"
347,1,14,2450000000,2483500000,,"2015-08-05 15:56:30","2016-03-29 15:01:57"
348,1,14,2483500000,2500000000,,"2015-08-05 15:56:30","2016-03-23 16:13:28"
349,1,14,2500000000,2520000000,,"2015-08-05 15:56:30","2018-06-07 08:45:08"
350,1,14,2520000000,2655000000,,"2015-08-05 15:56:30","2018-06-07 09:18:41"
351,1,14,2655000000,2670000000,,"2015-08-05 15:56:30","2018-06-07 10:06:10"
352,1,14,2670000000,2690000000,,"2015-08-05 15:56:30","2018-06-07 10:12:21"
353,1,14,2690000000,2700000000,,"2015-08-05 15:56:30","2018-06-07 10:15:02"
354,4,7,2700000000,2900000000,,"2015-08-05 15:56:30","2018-06-07 10:20:04"
355,4,7,2900000000,3100000000,,"2015-08-05 15:56:30","2019-07-20 13:45:44"
356,3,7,3100000000,3300000000,,"2015-08-05 15:56:30","2019-07-20 13:52:59"
357,3,7,3300000000,3400000000,,"2015-08-05 15:56:30","2019-07-20 13:47:33"
358,2,7,3400000000,3600000000,,"2015-08-05 15:56:30","2019-07-20 13:59:27"
359,1,7,3600000000,3800000000,,"2015-08-05 15:56:30","2019-07-20 13:37:13"
360,1,7,3800000000,4200000000,,"2015-08-05 15:56:30","2018-06-11 13:17:06"
361,4,24,4200000000,4400000000,,"2015-08-05 15:56:30","2018-06-11 13:38:06"
362,3,24,4400000000,4500000000,,"2015-08-05 15:56:30","2018-06-11 13:20:59"
363,3,24,4500000000,4800000000,,"2015-08-05 15:56:30","2016-03-29 15:03:45"
364,3,24,4800000000,4990000000,,"2015-08-05 15:56:30","2016-03-29 11:42:46"
365,4,24,4990000000,5000000000,,"2015-08-05 15:56:30","2018-06-11 13:27:13"
366,4,24,5000000000,5010000000,,"2015-08-05 15:56:30","2016-03-29 11:48:23"
367,4,24,5010000000,5030000000,,"2015-08-05 15:56:30","2016-03-23 10:46:49"
368,4,24,5030000000,5091000000,,"2015-08-05 15:56:30","2016-03-23 10:47:17"
369,4,24,5091000000,5150000000,,"2015-08-05 15:56:30","2016-03-23 10:47:35"
370,4,24,5150000000,5250000000,,"2015-08-05 15:56:30","2016-03-23 10:47:50"
371,4,24,5250000000,5255000000,,"2015-08-05 15:56:30","2016-03-23 10:48:04"
372,4,24,5255000000,5350000000,,"2015-08-05 15:56:30","2016-03-23 10:48:22"
373,4,24,5350000000,5460000000,,"2015-08-05 15:56:30","2016-03-23 10:48:40"
374,4,24,5460000000,5470000000,,"2015-08-05 15:56:30","2016-03-23 10:49:17"
375,4,24,5470000000,5570000000,,"2015-08-05 15:56:30","2016-03-23 10:49:31"
376,4,24,5570000000,5650000000,,"2015-08-05 15:56:30","2016-03-23 10:49:44"
377,4,24,5650000000,5725000000,,"2015-08-05 15:56:30","2016-03-23 10:49:58"
378,4,24,5725000000,5830000000,,"2015-08-05 15:56:30","2016-03-23 10:50:17"
379,4,24,5830000000,5850000000,,"2015-08-05 15:56:30","2016-03-23 10:50:34"
380,1,24,5850000000,5925000000,,"2015-08-05 15:56:30","2016-03-23 10:50:52"
381,1,19,5925000000,6450000000,,"2015-08-05 15:56:30","2016-03-23 10:51:50"
382,1,19,6450000000,6700000000,,"2015-08-05 15:56:30","2016-03-23 10:52:13"
383,1,19,6700000000,7075000000,,"2015-08-05 15:56:30","2016-03-23 10:52:26"
